# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
1066	49908	-86940	0
1067	49908	-86850	0
1068	49908	-86760	0
1069	49908	-86670	0
1070	49908	-86580	0
1071	49908	-86490	0
1072	49908	-86400	0
1073	49908	-86310	0
1074	49908	-86220	0
1075	49908	-86130	0
1076	49908	-86040	0
1077	49908	-85950	0
1078	49908	-85860	0
1079	49908	-85770	0
1080	49908	-85680	0
1081	49908	-85590	0
1082	49908	-85500	0
1083	49908	-85410	0
1084	49908	-85320	0
1085	49908	-85230	0
1086	49908	-85140	0
1087	49908	-85050	0
1088	49908	-84960	0
1089	49908	-84870	0
1090	49908	-84780	0
1091	49908	-84690	0
1092	49908	-84600	0
1093	49908	-84510	0
1094	49908	-84420	0
1095	49908	-84330	0
1096	49908	-84240	0
1097	49908	-84150	0
1098	49908	-84060	0
1099	49908	-83970	0
1100	49908	-83880	0
1101	49908	-83790	0
1102	49908	-83700	0
1103	49908	-83610	0
1104	49908	-83520	0
1105	49908	-83430	0
1106	49908	-83340	0
1107	49908	-83250	0
1108	49908	-83160	0
1109	49908	-83070	0
1110	49908	-82980	0
1111	49908	-82890	0
1112	49908	-82800	0
1113	49908	-82710	0
1114	49908	-82620	0
1115	49908	-82530	0
1116	49908	-82440	0
1117	49908	-82350	0
1118	49908	-82260	0
1119	49908	-82170	0
1120	49908	-82080	0
1121	49908	-81990	0
1122	49908	-81900	0
1123	49908	-81810	0
1124	49908	-81720	0
1125	49908	-81630	0
1126	49908	-81540	0
1127	49908	-81450	0
1128	49908	-81360	0
1129	49908	-81270	0
1130	49908	-81180	0
1131	49908	-81090	0
1132	49908	-81000	0
1133	49908	-80910	0
1134	49908	-80820	0
1135	49908	-80730	0
1136	49908	-80640	0
1137	49908	-80550	0
1138	49908	-80460	0
1139	49908	-80370	0
1140	49908	-80280	0
1141	49908	-80190	0
1142	49908	-80100	0
1143	49908	-80010	0
1144	49908	-79920	0
1145	49908	-79830	0
1146	49908	-79740	0
1147	49908	-79650	0
1148	49908	-79560	0
1149	49908	-79470	0
1150	49908	-79380	0
1151	49908	-79290	0
1152	49908	-79200	0
1153	49908	-79110	0
1154	49908	-79020	0
1155	49908	-78930	0
1156	49908	-78840	0
1157	49908	-78750	0
1158	49908	-78660	0
1159	49908	-78570	0
1160	49908	-78480	0
1161	49908	-78390	0
1162	49908	-78300	0
1163	49908	-78210	0
1164	49908	-78120	0
1165	49908	-78030	0
1166	49908	-77940	0
1167	49908	-77850	0
1168	49908	-77760	0
1169	49908	-77670	0
1170	49908	-77580	0
1171	49908	-77490	0
1172	49908	-77400	0
1173	49908	-77310	0
1174	49908	-77220	0
1175	49908	-77130	0
1176	49908	-77040	0
1177	49908	-76950	0
1178	49908	-76860	0
1179	49908	-76770	0
1180	49908	-76680	0
1181	49908	-76590	0
1182	49908	-76500	0
1183	49908	-76410	0
1184	49908	-76320	0
1185	49908	-76230	0
1186	49908	-76140	0
1187	49908	-76050	0
1188	49908	-75960	0
1189	49908	-75870	0
1190	49908	-75780	0
1191	49908	-75690	0
1192	49908	-75600	0
1193	49908	-75510	0
1194	49908	-75420	0
1195	49908	-75330	0
1196	49908	-75240	0
1197	49908	-75150	0
1198	49908	-75060	0
1199	49908	-74970	0
1200	49908	-74880	0
1201	49908	-74790	0
1202	49908	-74700	0
1203	49908	-74610	0
1204	49908	-74520	0
1205	49908	-74430	0
1206	49908	-74340	0
1207	49908	-74250	0
1208	49908	-74160	0
1209	49908	-74070	0
1210	49908	-73980	0
1211	49908	-73890	0
1212	49908	-73800	0
1213	49908	-73710	0
1214	49908	-73620	0
1215	49908	-73530	0
1216	49908	-73440	0
1217	49908	-73350	0
1218	49908	-73260	0
1219	49908	-73170	0
1220	49908	-73080	0
1221	49908	-72990	0
1222	49908	-72900	0
1223	49908	-72810	0
1224	49908	-72720	0
1225	49908	-72630	0
1226	49908	-72540	0
1227	49908	-72450	0
